full_name,number,position,height (in),weight (lb),date_of_birth,team,sign
"Cromartie, Antonio",31,cornerback,74,210,4/15/84,NYJ,aries
"Douzable, Leger",78,defensive tackle,76,284,5/31/86,NYJ,gemini
"Ellis, Kenrick",93,defensive tackle,76,346,12/10/87,NYJ,sagittarius
"Goodson, Mike",23,running back,72,210,5/23/87,NYJ,gemini
"Green, Alex",25,running back,74,220,6/23/88,NYJ,cancer
"Griffin, John",24,running back,71,208,12/17/88,NYJ,sagittarius
"Ivory, Chris",33,running back,72,222,3/22/88,NYJ,aries
"Milliner, Dee",27,cornerback,72,201,9/14/91,NYJ,virgo
"Powell, Bilal",29,running back,70,204,10/27/88,NYJ,scorpio
"Quinn, Brady",9,quarterback,75,235,10/27/84,NYJ,scorpio
"Richardson, Sheldon",91,defensive end,75,294,11/29/90,NYJ,sagittarius
"Sanchez, Mark",6,quarterback,74,225,11/11/86,NYJ,scorpio
"Simms, Matt",5,quarterback,75,210,9/27/88,NYJ,libra
"Smith, Geno",7,quarterback,74,221,10/10/90,NYJ,libra
"Walls, Darrin",30,cornerback,72,190,6/20/88,NYJ,gemini
"Wilkerson, Muhammad",96,defensive end,76,315,10/22/89,NYJ,libra
"Wilson, Kyle",20,cornerback,70,190,5/30/87,NYJ,gemini
"Barkley, Matt",2,quarterback,74,227,9/8/90,PHI,virgo
"Boykin, Brandon",22,cornerback,70,185,7/13/90,PHI,cancer
"Brown, Bryce",34,running back,72,220,5/14/91,PHI,taurus
"Cox, Fletcher",91,defensive end,76,300,12/13/90,PHI,sagittarius
"Curry, Vinny",75,defensive end,75,279,6/30/88,PHI,cancer
"Fletcher, Bradley",24,cornerback,72,200,6/25/86,PHI,cancer
"Foles, Nick",9,quarterback,78,243,1/20/89,PHI,capricorn
"Geathers, Clifton",90,defensive end,80,340,12/11/87,PHI,sagittarius
"Hunt, Phillip",56,defensive end,73,254,1/10/86,PHI,capricorn
"Kruger, Joe",73,defensive end,78,269,6/4/92,PHI,gemini
"Logan, Bennie",96,defensive tackle,74,309,12/28/89,PHI,capricorn
"McCoy, LeSean",25,running back,71,208,7/12/88,PHI,cancer
"Polk, Chris",32,running back,71,222,12/16/89,PHI,sagittarius
"Poyer, Jordan",33,cornerback,72,191,4/25/91,PHI,taurus
"Prater, Shaun",31,cornerback,70,190,10/27/89,PHI,scorpio
"Square, Damion",77,defensive end,74,293,2/6/89,PHI,aquarius
"Thornton, Cedric",72,defensive end,76,309,6/21/88,PHI,gemini
"Vick, Michael",7,quarterback,72,215,6/26/80,PHI,cancer
"Williams, Cary",26,cornerback,73,190,12/23/84,PHI,capricorn
"Allen, Cortez",28,cornerback,73,196,10/29/88,PIT,scorpio
"Bell, Le'Veon",26,running back,73,244,2/18/92,PIT,aquarius
"Dwyer, Jonathan",27,running back,71,229,7/26/89,PIT,leo
"Fangupo, Hebron",92,defensive tackle,72,324,7/19/85,PIT,cancer
"Gay, William",22,cornerback,70,190,1/1/85,PIT,capricorn
"Gradkowski, Bruce",5,quarterback,73,220,1/27/83,PIT,aquarius
"Heyward, Cameron",97,defensive end,77,288,5/6/89,PIT,taurus
"Hood, Ziggy",96,defensive end,75,300,2/16/87,PIT,aquarius
"Jones, Felix",23,running back,70,215,5/8/87,PIT,taurus
"Jones, Landry",3,quarterback,75,221,4/4/89,PIT,aries
"Keisel, Brett",99,defensive end,77,285,9/19/78,PIT,virgo
"Redman, Isaac",33,running back,72,230,11/10/84,PIT,scorpio
"Roethlisberger, Ben",7,quarterback,77,241,3/2/82,PIT,pisces
"Stephens-Howling, LaRod",34,running back,67,185,4/26/87,PIT,taurus
"Taylor, Ike",24,cornerback,74,195,5/5/80,PIT,taurus
"Williams, Nick",91,defensive tackle,76,310,2/21/90,PIT,pisces
"Woods, Al",65,defensive tackle,76,307,3/25/87,PIT,aries
"Brown, Ronnie",23,running back,72,223,12/12/81,SD,sagittarius
"Butler, Crezdon",20,cornerback,73,191,5/26/87,SD,gemini
"Cox, Derek",22,cornerback,73,195,9/22/86,SD,virgo
"Lissemore, Sean",98,defensive tackle,75,303,9/11/87,SD,virgo
"Liuget, Corey",94,defensive end,74,300,3/18/90,SD,pisces
"Marshall, Richard",31,cornerback,71,198,12/12/84,SD,sagittarius
"Mathews, Ryan",24,running back,72,220,10/10/87,SD,libra
"Patrick, Johnny",26,cornerback,71,190,8/17/88,SD,leo
"Reyes, Kendall",91,defensive end,76,300,9/26/89,SD,libra
"Rivers, Philip",17,quarterback,77,228,12/8/81,SD,sagittarius
"Sorensen, Brad",4,quarterback,77,230,3/13/88,SD,pisces
"Whitehurst, Charlie",6,quarterback,77,226,8/6/82,SD,leo
"Williams, Steve",27,cornerback,70,185,3/7/91,SD,pisces
"Woodhead, Danny",39,running back,68,200,1/25/85,SD,aquarius
"Wright, Shareece",29,cornerback,71,182,4/8/87,SD,aries
"Asomugha, Nnamdi",28,cornerback,74,210,7/6/81,SF,cancer
"Brown, Tarell",25,cornerback,70,193,1/6/85,SF,capricorn
"Dixon, Anthony",24,running back,73,233,9/24/87,SF,libra
"Gore, Frank",21,running back,69,217,5/14/83,SF,taurus
"Hunter, Kendall",32,running back,67,199,9/16/88,SF,virgo
"James, LaMichael",23,running back,69,195,10/22/89,SF,libra
"Jerod-Eddie, Tony",63,defensive end,77,301,3/29/90,SF,aries
"Kaepernick, Colin",7,quarterback,76,230,11/3/87,SF,scorpio
"McCoy, Colt",2,quarterback,73,215,9/5/86,SF,virgo
"McDonald, Ray",91,defensive end,75,290,9/2/84,SF,virgo
"Okoye, Lawrence",78,defensive end,78,304,10/6/91,SF,libra
"Rogers, Carlos",22,cornerback,72,192,7/2/81,SF,cancer
"Smith, Justin",94,defensive end,76,285,9/30/79,SF,libra
"Avril, Cliff",56,defensive end,75,260,4/8/86,SEA,aries
"Bennett, Michael",72,defensive end,76,274,11/13/85,SEA,scorpio
"Browner, Brandon",39,cornerback,76,221,8/2/84,SEA,leo
"Bryant, Red",79,defensive end,76,323,4/18/84,SEA,aries
"Clemons, Chris",91,defensive end,75,254,10/30/81,SEA,scorpio
"Daniels, B.J.",5,quarterback,71,217,10/24/89,SEA,scorpio
"Fenner, Chandler",48,cornerback,73,189,7/6/90,SEA,cancer
"Hill, Jordan",97,defensive tackle,73,303,2/8/91,SEA,aquarius
"Jackson, Tarvaris",7,quarterback,74,225,4/21/83,SEA,taurus
"Lane, Jeremy",20,cornerback,72,190,7/14/90,SEA,cancer
"Lynch, Marshawn",24,running back,71,215,4/22/86,SEA,taurus
"Maxwell, Byron",41,cornerback,73,207,2/23/88,SEA,pisces
"Mayowa, Benson",95,defensive end,75,252,8/3/91,SEA,leo
"McDaniel, Tony",99,defensive tackle,79,305,1/20/85,SEA,capricorn
"McDonald, Clinton",69,defensive tackle,74,297,1/6/87,SEA,capricorn
"Mebane, Brandon",92,defensive tackle,73,311,1/15/85,SEA,capricorn
"Michael, Christine",33,running back,70,221,11/9/90,SEA,scorpio
"Scruggs, Greg",98,defensive end,75,284,8/17/90,SEA,leo
"Sherman, Richard",25,cornerback,75,195,3/30/88,SEA,aries
"Simon, Tharold",34,cornerback,74,202,3/6/91,SEA,pisces
"Thurmond, Walter",28,cornerback,71,190,8/12/87,SEA,leo
"Turbin, Robert",22,running back,70,222,12/2/89,SEA,sagittarius
"Ware, Spencer",44,running back,70,228,11/23/91,SEA,sagittarius
"Williams, Jesse",90,defensive tackle,75,325,11/2/90,SEA,scorpio
"Wilson, Russell",3,quarterback,71,206,11/29/88,SEA,sagittarius
"Abraham, John",55,defensive end,76,263,5/6/78,ARI,taurus
"Arenas, Javier",35,cornerback,69,197,10/28/87,ARI,scorpio
"Bethel, Justin",31,cornerback,72,200,6/17/90,ARI,gemini
"Campbell, Calais",93,defensive end,80,300,9/1/86,ARI,virgo
"Cason, Antoine",20,cornerback,73,195,7/9/86,ARI,cancer
"Dockett, Darnell",90,defensive end,76,290,5/27/81,ARI,gemini
"Ellington, Andre",38,running back,69,199,2/3/89,ARI,aquarius
"Lindley, Ryan",14,quarterback,75,232,6/22/89,ARI,cancer
"Mendenhall, Rashard",28,running back,70,225,6/19/87,ARI,gemini
"Palmer, Carson",3,quarterback,77,235,12/27/79,ARI,capricorn
"Peterson, Patrick",21,cornerback,73,219,7/11/90,ARI,cancer
"Powers, Jerraud",25,cornerback,70,187,7/19/87,ARI,cancer
"Rucker, Frostee",98,defensive end,75,280,9/14/83,ARI,virgo
"Shaughnessy, Matt",91,defensive end,77,285,9/23/86,ARI,virgo
"Smith, Alfonso",29,running back,73,209,1/23/87,ARI,aquarius
"Stanton, Drew",5,quarterback,75,243,5/7/84,ARI,taurus
"Talley, Ronald",96,defensive end,75,286,2/21/86,ARI,pisces
"Taylor, Stepfan",30,running back,69,216,6/9/91,ARI,gemini
"Thompson, Everrette",60,defensive end,78,272,12/18/89,ARI,sagittarius
"Williams, Ryan",34,running back,69,207,4/9/90,ARI,aries
"Banks, Johnthan",27,cornerback,74,195,10/3/89,TB,libra
"Bowers, Da'Quan",91,defensive end,76,288,2/23/90,TB,pisces
"Clayborn, Adrian",94,defensive end,75,280,7/6/88,TB,cancer
"Demps, Jeff",42,running back,67,191,1/8/90,TB,capricorn
"Gaitor, Anthony",26,cornerback,70,182,10/9/88,TB,libra
"Gholston, William",92,defensive end,78,281,7/31/91,TB,leo
"Gibson, Gary",95,defensive tackle,75,312,5/5/82,TB,taurus
"Glennon, Mike",8,quarterback,78,225,12/12/89,TB,sagittarius
"Gorrer, Danny",36,cornerback,72,180,6/1/86,TB,gemini
"James, Mike",25,running back,70,223,4/13/91,TB,aries
"Johnson, Leonard",29,cornerback,70,202,3/30/90,TB,aries
"Landri, Derek",90,defensive tackle,74,290,9/21/83,TB,virgo
"Leonard, Brian",30,running back,73,225,2/3/84,TB,aquarius
"Martin, Doug",22,running back,69,215,1/13/89,TB,capricorn
"McCoy, Gerald",93,defensive tackle,76,300,2/25/88,TB,pisces
"Means, Steven",96,defensive end,75,260,12/5/89,TB,sagittarius
"Orlovsky, Dan",6,quarterback,77,230,8/18/83,TB,leo
"Revis, Darrelle",24,cornerback,71,198,7/14/85,TB,cancer
"Scott, Trevor",71,defensive end,77,260,8/30/84,TB,virgo
"Smith, Michael",34,running back,69,205,8/9/88,TB,leo
"Spence, Akeem",97,defensive tackle,73,307,11/29/91,TB,sagittarius
"Te'o-Nesheim, Daniel",50,defensive end,75,263,6/12/87,TB,gemini
"Baker, Chris",92,defensive end,74,333,10/8/87,WAS,libra
"Biggers, E.J.",30,cornerback,72,185,6/13/87,WAS,gemini
"Bowen, Stephen",72,defensive end,77,310,3/28/84,WAS,aries
"Carriker, Adam",94,defensive end,78,300,5/6/84,WAS,taurus
"Cousins, Kirk",12,quarterback,75,209,8/19/88,WAS,leo
"Crawford, Richard",20,cornerback,71,188,8/1/90,WAS,leo
"Golston, Kedric",64,defensive end,76,318,5/30/83,WAS,gemini
"Griffin III, Robert",10,quarterback,74,217,2/12/90,WAS,aquarius
"Grossman, Rex",8,quarterback,73,225,8/23/80,WAS,virgo
"Hall, DeAngelo",23,cornerback,70,193,11/19/83,WAS,scorpio
"Helu, Roy",29,running back,71,215,12/7/88,WAS,sagittarius
"Jenkins, Jarvis",99,defensive end,76,315,4/24/88,WAS,taurus
"Morris, Alfred",46,running back,70,218,12/12/88,WAS,sagittarius
"Royster, Evan",22,running back,73,216,11/26/87,WAS,sagittarius
"Thompson, Chris",25,running back,68,187,10/20/90,WAS,libra
"Wilson, Josh",26,cornerback,69,188,3/11/85,WAS,pisces
"Worthington, Doug",90,defensive tackle,77,311,8/10/87,WAS,leo
"Addison, Mario",97,defensive end,75,260,9/6/87,CAR,virgo
"Alexander, Frank",90,defensive end,76,270,12/17/89,CAR,sagittarius
"Anderson, Derek",3,quarterback,78,240,6/15/83,CAR,gemini
"Barner, Kenjon",25,running back,69,190,4/28/89,CAR,taurus
"Clausen, Jimmy",7,quarterback,74,210,9/21/87,CAR,virgo
"Cole, Colin",91,defensive tackle,74,335,6/24/80,CAR,cancer
"Edwards, Dwan",92,defensive tackle,75,305,5/16/81,CAR,taurus
"Florence, Drayton",29,cornerback,72,200,12/19/80,CAR,sagittarius
"Fua, Sione",94,defensive tackle,73,310,6/15/88,CAR,gemini
"Gaydosh, Linden",98,defensive tackle,76,290,1/4/91,CAR,capricorn
"Hardy, Greg",76,defensive end,76,290,7/28/88,CAR,leo
"Horton, Wes",96,defensive end,77,265,1/18/90,CAR,capricorn
"Johnson, Charles",95,defensive end,74,285,7/10/86,CAR,cancer
"Lotulelei, Star",98,defensive tackle,74,315,12/20/89,CAR,sagittarius
"Moore, D.J.",20,cornerback,69,190,3/22/87,CAR,aries
"Munnerlyn, Captain",41,cornerback,68,195,4/10/88,CAR,aries
"Newton, Cam",1,quarterback,77,245,5/11/89,CAR,taurus
"Norman, Josh",24,cornerback,72,200,12/15/87,CAR,sagittarius
"Short, Kawann",99,defensive tackle,75,310,2/2/89,CAR,aquarius
"Smith, Armond",36,running back,69,195,5/7/86,CAR,taurus
"Stewart, Jonathan",28,running back,70,235,3/21/87,CAR,aries
"Thomas, Josh",22,cornerback,71,190,5/3/89,CAR,taurus
"White, Melvin",23,cornerback,73,205,6/26/90,CAR,cancer
"Williams, DeAngelo",34,running back,69,215,4/25/83,CAR,taurus
"Alualu, Tyson",93,defensive end,75,295,5/12/87,JAC,taurus
"Babin, Jason",58,defensive end,75,267,5/24/80,JAC,gemini
"Ball, Alan",23,cornerback,74,197,3/29/85,JAC,aries
"Blackmon, Will",24,cornerback,72,210,10/27/84,JAC,scorpio
"Branch, Andre",90,defensive end,77,265,7/14/89,JAC,cancer
"Deaderick, Brandon",92,defensive end,76,305,8/19/87,JAC,leo
"Fleming, Jamell",29,cornerback,71,206,5/5/89,JAC,taurus
"Forsett, Justin",21,running back,68,194,10/14/85,JAC,libra
"Gabbert, Blaine",11,quarterback,76,235,10/15/89,JAC,libra
"Gratz, Dwayne",27,cornerback,71,201,3/8/90,JAC,pisces
"Harris, Jeremy",31,cornerback,74,185,4/26/91,JAC,taurus
"Harris, Mike",20,cornerback,70,188,1/5/89,JAC,capricorn
"Henne, Chad",7,quarterback,75,230,7/2/85,JAC,cancer
"Jones, Abry",91,defensive end,76,312,9/8/91,JAC,virgo
"Jones-Drew, Maurice",32,running back,67,210,3/23/85,JAC,aries
"Marks, Sen'Derrick",99,defensive tackle,74,294,2/23/87,JAC,pisces
"McCray, Demetrius",35,cornerback,72,185,5/11/91,JAC,taurus
"Miller, Roy",97,defensive tackle,74,310,7/9/87,JAC,cancer
"Mincey, Jeremy",94,defensive end,76,265,12/14/83,JAC,sagittarius
"Robinson, Denard",16,running back,71,197,9/22/90,JAC,virgo
"Stanzi, Ricky",2,quarterback,76,228,9/3/87,JAC,virgo
"Todman, Jordan",30,running back,70,198,2/24/90,JAC,pisces
"Bouye, A.J.",34,cornerback,72,191,8/16/91,HOU,leo
"Crick, Jared",93,defensive end,76,285,8/21/89,HOU,leo
"Foster, Arian",23,running back,73,227,8/24/86,HOU,virgo
"Jackson, Kareem",25,cornerback,70,188,4/10/88,HOU,aries
"Jamison, Tim",96,defensive end,75,287,2/26/86,HOU,pisces
"Joseph, Johnathan",24,cornerback,71,188,4/16/84,HOU,aries
"Keenum, Case",7,quarterback,73,205,2/17/88,HOU,aquarius
"McCain, Brice",21,cornerback,69,187,12/10/86,HOU,sagittarius
"McClain, Terrell",97,defensive tackle,74,293,7/20/88,HOU,cancer
"Schaub, Matt",8,quarterback,77,235,6/25/81,HOU,cancer
"Smith, Antonio",94,defensive end,76,289,10/21/81,HOU,libra
"Tate, Ben",44,running back,71,217,8/21/88,HOU,leo
"Watt, J.J.",99,defensive end,77,289,3/22/89,HOU,aries
"Wood, Cierre",41,running back,71,215,2/21/91,HOU,pisces
"Yates, T.J.",13,quarterback,76,217,5/28/87,HOU,gemini
